selected_class,Attribution method,Model training,Attack,DenseNet,ViT,Swin-ViT
Lung Opacity,integrated gradients,pretrained,In mask,0.8587595224380493,0.8240740895271301,0.81297767162323
Lung Opacity,integrated gradients,pretrained,Out mask,0.8766167163848877,0.8143004179000854,0.8064006567001343
Lung Opacity,smoothgrad,from scratch,In mask,0.6465314626693726,0.8489859104156494,0.8543870449066162
Lung Opacity,smoothgrad,from scratch,Out mask,0.6473398208618164,0.8272339701652527,0.848471462726593
Lung Opacity,smoothgrad,pretrained,In mask,0.8489124774932861,0.8327454328536987,0.7896090745925903
Lung Opacity,smoothgrad,pretrained,Out mask,0.803791880607605,0.8105526566505432,0.8284832239151001
Lung Lesion,lrp,from scratch,In mask,0.5965665578842163,0.6952790021896362,0.6309012770652771
Lung Lesion,lrp,from scratch,Out mask,0.6008583307266235,0.2274678349494934,0.2532188892364502
Lung Lesion,lrp,pretrained,In mask,0.6223175525665283,0.4892703890800476,0.17596566677093506
Lung Lesion,lrp,pretrained,Out mask,0.40772533416748047,0.09871244430541992,0.07296139001846313
Lung Lesion,gradient,from scratch,In mask,0.1373390555381775,0.278969943523407,0.06437766551971436
Lung Lesion,gradient,from scratch,Out mask,0.3519313335418701,0.1373390555381775,0.3476395010948181
Lung Lesion,gradient,pretrained,In mask,0.540772557258606,0.04291844367980957,0.034334778785705566
Lung Lesion,gradient,pretrained,Out mask,0.6781115531921387,0.18454933166503903,0.7639485001564026
Lung Lesion,integrated gradients,from scratch,In mask,0.6695278882980347,0.557939887046814,0.10729610919952393
Lung Lesion,integrated gradients,from scratch,Out mask,0.030042946338653564,0.025751054286956787,0.3905579447746277
Lung Lesion,integrated gradients,pretrained,In mask,0.32188838720321655,0.034334778785705566,0.28755366802215576
Lung Lesion,integrated gradients,pretrained,Out mask,0.08154505491256714,0.21888411045074463,0.17167383432388306
Lung Lesion,smoothgrad,from scratch,In mask,0.5793991088867188,0.3776823878288269,0.03862661123275757
Lung Lesion,smoothgrad,from scratch,Out mask,0.030042946338653564,0.1373390555381775,0.09871244430541992
Lung Lesion,smoothgrad,pretrained,In mask,0.8798283338546753,0.07725322246551514,0.30901288986206055
Lung Lesion,smoothgrad,pretrained,Out mask,0.3733905553817749,0.1373390555381775,0.030042946338653564
Edema,lrp,from scratch,In mask,0.7744855880737305,0.5729570984840393,0.8484420776367188
Edema,lrp,from scratch,Out mask,0.8095237612724304,0.4418577253818512,0.8457378149032593
Edema,lrp,pretrained,In mask,0.7393298149108887,0.6665490865707397,0.8547913432121277
Edema,lrp,pretrained,Out mask,0.7883597612380981,0.5945914387702942,0.8705467581748962
Edema,gradient,from scratch,In mask,0.8306878209114075,0.833039402961731,0.8137566447257996
Edema,gradient,from scratch,Out mask,0.7961199879646301,0.8125808238983154,0.8179894089698792
Edema,gradient,pretrained,In mask,0.7954144477844238,0.8179894089698792,0.8720752596855164
Edema,gradient,pretrained,Out mask,0.8230452537536621,0.7922398447990417,0.8502057790756226
Edema,integrated gradients,from scratch,In mask,0.7870664596557617,0.7689594626426697,0.8634920716285706
Edema,integrated gradients,from scratch,Out mask,0.7769547700881958,0.7891829013824463,0.8145796656608582
Edema,integrated gradients,pretrained,In mask,0.8371546268463135,0.7805996537208557,0.8650205731391907
Edema,integrated gradients,pretrained,Out mask,0.8808935880661011,0.7613168954849243,0.8546737432479858
Edema,smoothgrad,from scratch,In mask,0.7062904238700867,0.8174015283584595,0.8496178388595581
Edema,smoothgrad,from scratch,Out mask,0.7299236059188843,0.7956495881080627,0.8373898267745972
Edema,smoothgrad,pretrained,In mask,0.7258083820343018,0.8179894089698792,0.8551440238952637
Edema,smoothgrad,pretrained,Out mask,0.7573192119598389,0.8118753433227539,0.7903586626052856
Consolidation,lrp,from scratch,In mask,0.5070104002952576,0.5813357830047607,0.7875772714614868
Consolidation,lrp,from scratch,Out mask,0.8184833526611328,0.6377204656600952,0.8216493129730225
