mass_accuracy_diff,rank_accuracy_diff,in_mask_mass_accuracy,in_mask_rank_accuracy,out_mask_mass_accuracy,out_mask_rank_accuracy,model,xai_method,pretraining,label
-0.14529999999999998,-0.07719999999999999,0.2475,0.2697,0.3928,0.3469,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.36779999999999996,0.1176,0.3696,0.1215,0.0018,0.0039,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.2754,-0.0020999999999999908,0.1612,0.2637,0.4366,0.2658,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.15080000000000002,0.2529,0.2519,0.3964,0.1011,0.1435,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.06359999999999999,0.0242,0.3376,0.4166,0.274,0.3924,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.15729999999999997,-0.0862,0.2048,0.3518,0.3621,0.438,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.13369999999999999,-0.13430000000000003,0.3775,0.3187,0.5112,0.453,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.25710000000000005,0.057599999999999985,0.3332,0.4105,0.5903,0.3529,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.2832,0.349,0.3703,0.4296,0.0871,0.0806,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0131,0.020100000000000007,0.1018,0.1078,0.0887,0.0877,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.11950000000000001,0.0994,0.1637,0.1855,0.0442,0.0861,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.16529999999999997,-0.01780000000000001,0.3389,0.1333,0.1736,0.1511,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0005999999999999894,-0.026599999999999985,0.1786,0.1932,0.1792,0.2198,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0073,-0.057100000000000005,0.0048,0.0094,0.0121,0.0665,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.6069,0.12110000000000004,0.2021,0.3561,0.809,0.235,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.005099999999999993,0.0339,0.1093,0.0882,0.1042,0.0543,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.09289999999999998,-0.08680000000000004,0.3431,0.3984,0.436,0.4852,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.029200000000000004,0.0561,0.1605,0.1676,0.1313,0.1115,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
